evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
11871,2,51,5.325e-06,0.00207325,0.000115597,7.2789e-05,3.7546e-05,0.00232646
11873,5,94,8.954e-06,0.00215168,0.000147474,9.3956e-05,3.0777e-05,0.00247201
11874,2,43,5.125e-06,0.00247582,6.588e-06,3.7871e-05,1.775e-05,0.00256074
11875,4,112,1.0211e-05,0.00219457,1.0507e-05,8.1143e-05,3.3654e-05,0.00237808
11876,1,24,3.436e-06,0.00203734,3.565e-06,2.3111e-05,1.3166e-05,0.00209171
11877,1,26,3.292e-06,0.00204961,3.23e-06,2.304e-05,1.2664e-05,0.00210299
11878,8,190,1.9965e-05,0.00242103,0.000465259,0.000232576,5.0177e-05,0.00331026
11879,7,112,1.1047e-05,0.00218997,0.000168521,9.2831e-05,2.8785e-05,0.00254929
11880,3,43,5.216e-06,0.00209069,4.2061e-05,6.8952e-05,1.3032e-05,0.0022396
11883,2,23,3.735e-06,0.00248181,6.356e-06,2.7685e-05,1.1031e-05,0.00254391
11884,2,27,4.679e-06,0.0021093,8.284e-06,4.4588e-05,2.5851e-05,0.0022047
11885,2,52,6.097e-06,0.00248457,4.503e-06,4.2707e-05,2.0306e-05,0.00257937
11886,5,50,5.218e-06,0.0021376,3.6915e-05,4.9807e-05,3.2342e-05,0.00228362
11887,4,101,1.0134e-05,0.00245957,3.9227e-05,0.000233283,4.6078e-05,0.00283344
11888,3,48,6.431e-06,0.00226001,6.714e-06,4.4199e-05,2.0281e-05,0.00235888
11889,14,329,3.7008e-05,0.00280866,0.000799065,0.000334318,0.000113573,0.00443465
11890,2,30,4.875e-06,0.00213797,3.7623e-05,3.5215e-05,1.2373e-05,0.00224371
11891,4,90,8.762e-06,0.00229173,9.8618e-05,7.6918e-05,2.6012e-05,0.00254776
11892,2,85,8.259e-06,0.00227606,8.373e-06,6.8035e-05,2.6653e-05,0.00241877
11894,3,81,8.517e-06,0.00212793,3.8152e-05,7.5605e-05,2.8111e-05,0.00231515
11896,6,70,7.24e-06,0.00215437,8.9318e-05,7.1394e-05,2.4599e-05,0.00238086
11897,9,147,1.5733e-05,0.00229167,0.000157012,0.000137566,4.5005e-05,0.00272215
11898,1,20,3.882e-06,0.00203751,4.899e-06,2.5891e-05,1.17e-05,0.00209572
11899,2,38,4.456e-06,0.0020477,5.979e-06,3.068e-05,1.3731e-05,0.00211584
11900,4,78,1.395e-05,0.00214509,6.1427e-05,0.00010462,1.6702e-05,0.00238342
11901,1,23,3.449e-06,0.00205679,5.255e-06,2.3962e-05,1.2247e-05,0.0021125
11903,1,22,3.532e-06,0.00244835,5.153e-06,2.3026e-05,1.1855e-05,0.00250193
11904,9,78,8.261e-06,0.00216017,4.1982e-05,8.3574e-05,2.3324e-05,0.00236524
11905,1,11,2.811e-06,0.00238096,5.778e-06,1.5537e-05,1.0383e-05,0.00242473
11906,16,308,3.0874e-05,0.00265885,0.00120788,0.000417063,9.3558e-05,0.00469943
11908,4,138,1.2762e-05,0.00229418,6.5641e-05,0.000135358,3.6914e-05,0.00261035
11909,6,113,1.1049e-05,0.00225158,8.1832e-05,0.000102729,3.7817e-05,0.00254837
11912,9,148,1.536e-05,0.00226352,0.000569327,0.000166116,3.9279e-05,0.00313971
11913,4,71,7.48e-06,0.00258303,7.898e-06,5.8964e-05,2.2951e-05,0.00271566
11914,4,107,1.0366e-05,0.00217122,0.000142544,8.7052e-05,3.2752e-05,0.00249392
11915,1,26,3.686e-06,0.00205355,3.302e-06,2.5836e-05,1.3137e-05,0.00211099
11916,3,73,7.768e-06,0.00214019,6.899e-06,6.1016e-05,2.5945e-05,0.00227333
11917,1,26,3.627e-06,0.00208622,3.448e-06,2.3847e-05,1.1634e-05,0.00214028
11918,1,16,3.16e-06,0.00203435,4.964e-06,1.8863e-05,1.0758e-05,0.00208147
11919,6,126,1.2653e-05,0.00221979,0.000309721,0.000176723,5.937e-05,0.00285318
11920,4,88,9.923e-06,0.00210422,0.000547246,9.346e-05,2.6021e-05,0.00282167
11921,6,117,1.1615e-05,0.00224851,1.2196e-05,8.8015e-05,3.2226e-05,0.00244394
11922,4,123,1.2715e-05,0.00218353,1.1282e-05,0.000103821,3.2378e-05,0.00240083
11923,4,79,7.908e-06,0.00214546,9.559e-06,7.1689e-05,2.6956e-05,0.00229684
11924,5,87,9.641e-06,0.00214872,2.5825e-05,0.00012518,2.5958e-05,0.00238168
11925,8,144,1.7141e-05,0.00246723,0.000745612,0.000199044,5.8146e-05,0.00363575
11926,2,125,1.2028e-05,0.00217145,0.000248403,0.00013155,3.4654e-05,0.00265218
11927,2,46,5.288e-06,0.00207981,6.808e-06,5.905e-05,1.8932e-05,0.00218893
11929,1,32,4.041e-06,0.00209889,3.695e-06,2.4766e-05,1.2942e-05,0.00215679
11930,1,26,3.954e-06,0.00204124,3.583e-06,2.2978e-05,1.2296e-05,0.0020949
11931,3,37,4.211e-06,0.00205606,6.72e-06,3.154e-05,1.4901e-05,0.00213023
11932,4,76,1.0165e-05,0.00212389,9.222e-06,6.1192e-05,2.1321e-05,0.00225972
11933,3,40,6.471e-06,0.00216847,0.000180882,4.4641e-05,1.0607e-05,0.00242584
11934,6,159,1.6223e-05,0.00224711,0.000522879,0.000139114,4.1895e-05,0.00305995
11935,8,231,2.2311e-05,0.00239338,0.000798035,0.000223495,5.6409e-05,0.0036281
11936,8,296,3.5427e-05,0.00254818,0.000878069,0.000602687,0.000111949,0.00450252
11938,2,49,5.647e-06,0.00210039,0.000176697,4.6991e-05,1.7746e-05,0.00237145
11940,2,28,3.723e-06,0.00245927,3.533e-06,2.6773e-05,1.2168e-05,0.00252006
11941,1,11,2.921e-06,0.0020234,4.529e-06,1.0533e-05,2.541e-06,0.00205171
11942,3,44,7.047e-06,0.00215032,8.262e-06,4.222e-05,1.717e-05,0.00224882
11943,9,184,1.9663e-05,0.00233306,0.000189316,0.000154633,4.6386e-05,0.00284725
11944,3,21,4.246e-06,0.00203678,6.721e-06,2.8289e-05,1.2032e-05,0.00210165
11945,4,82,7.654e-06,0.00221386,0.000298061,7.859e-05,2.5953e-05,0.00267085
11946,12,152,1.7215e-05,0.00226445,0.000127018,0.00018067,4.2054e-05,0.00271885
11947,11,158,1.7499e-05,0.00233831,0.000172437,0.000159238,5.2759e-05,0.00283677
11948,7,242,3.1503e-05,0.00249219,0.000601973,0.000305142,6.9395e-05,0.00367231
11949,7,122,1.1823e-05,0.0022817,9.1221e-05,0.000131771,3.4963e-05,0.00261875
11950,2,84,7.287e-06,0.00207484,1.1032e-05,7.9534e-05,2.4179e-05,0.00222797
11952,3,46,4.967e-06,0.00261499,6.46e-06,4.1518e-05,1.8772e-05,0.00270911
11953,2,65,6.531e-06,0.00218342,7.951e-06,5.7299e-05,2.5762e-05,0.00230685
11955,5,69,8.406e-06,0.00217324,4.768e-05,6.1197e-05,1.2043e-05,0.00233823
11956,7,141,1.5397e-05,0.00219858,0.000432218,0.00020017,4.341e-05,0.00297171
11957,5,40,5.477e-06,0.00255549,8.009e-06,4.2644e-05,1.5207e-05,0.00264588
11958,2,14,3.196e-06,0.0020208,4.81e-06,1.7088e-05,1.0039e-05,0.00206577
11959,4,71,7.654e-06,0.00208739,4.6272e-05,6.9558e-05,1.5765e-05,0.00225956
11960,6,139,1.3757e-05,0.00219948,0.000245902,0.000208018,4.7776e-05,0.00279154
11961,3,59,6.859e-06,0.00220323,9.337e-06,5.7867e-05,2.48e-05,0.00233099
11963,3,66,6.787e-06,0.00217911,7.131e-06,5.1433e-05,2.2275e-05,0.00229167
11964,2,55,5.82e-06,0.00206992,4.383e-06,3.9816e-05,1.9343e-05,0.00215995
11965,7,117,1.234e-05,0.00220049,0.00041077,0.00013395,3.7263e-05,0.0028578
11966,2,58,5.91e-06,0.00244612,6.573e-06,4.6456e-05,1.9842e-05,0.00254759
11967,4,58,6.219e-06,0.00211022,8.458e-06,5.5055e-05,2.0628e-05,0.00222363
11968,4,74,7.956e-06,0.00210996,1.0109e-05,8.6254e-05,2.5947e-05,0.00227208
11969,3,22,4.039e-06,0.00222062,8.0912e-05,3.371e-05,4.417e-06,0.00235608
11970,2,63,6.712e-06,0.00212158,4.853e-06,4.9424e-05,2.098e-05,0.00222946
11971,3,44,5.255e-06,0.00217113,6.625e-06,4.2053e-05,2.0607e-05,0.00226714
11972,5,54,6.236e-06,0.00211039,9.169e-06,4.9609e-05,2.0553e-05,0.00222263
11974,4,75,7.818e-06,0.00212201,2.4663e-05,8.1544e-05,3.0265e-05,0.00230452
11976,3,73,9.004e-06,0.00212339,0.000198542,7.0384e-05,1.5155e-05,0.00246132
11977,15,249,3.2496e-05,0.00277417,0.000500191,0.000340038,9.839e-05,0.00396933
11978,2,26,4.437e-06,0.0020705,5.759e-06,3.0033e-05,1.3348e-05,0.00213709
11980,3,47,5.268e-06,0.00205959,9.195e-06,6.7289e-05,1.7979e-05,0.00218345
11981,6,247,2.4889e-05,0.00230625,0.000799812,0.000281142,7.4529e-05,0.00363993
11982,4,90,9.127e-06,0.00218766,0.000156786,8.4901e-05,2.61e-05,0.00250451
11983,4,38,7.316e-06,0.00247265,8.171e-06,4.7487e-05,1.1936e-05,0.00257165
11984,5,223,2.5304e-05,0.00222887,0.000919526,0.00022972,5.0318e-05,0.00359637
11985,13,265,2.7399e-05,0.00256513,0.000478266,0.000415919,0.000106895,0.00384674
11986,1,16,3.956e-06,0.00205218,2.6937e-05,2.2384e-05,1.218e-05,0.00214039
11987,1,26,3.8e-06,0.00216323,3.48e-06,2.7002e-05,1.3265e-05,0.00222245
11988,4,52,1.0129e-05,0.00209674,7.979e-06,4.8126e-05,1.5127e-05,0.002206
11989,1,26,4.001e-06,0.00212317,4.217e-06,2.3928e-05,1.3591e-05,0.00218036
11990,5,73,7.397e-06,0.00212806,3.6701e-05,7.1944e-05,2.836e-05,0.00230873
11991,3,80,9.623e-06,0.00218893,9.4918e-05,0.000102074,3.0032e-05,0.00246496
11992,2,30,4.521e-06,0.00246406,5.781e-06,2.8979e-05,1.5004e-05,0.0025315
11993,3,90,8.989e-06,0.00211289,0.000192615,8.7046e-05,2.407e-05,0.00246515
11994,11,177,1.8692e-05,0.00228697,0.000493606,0.000181335,4.9563e-05,0.00313031
11995,9,88,8.87e-06,0.00219165,3.7966e-05,0.000113808,3.1407e-05,0.00243256
11997,10,146,1.456e-05,0.00222908,0.000259601,0.000127642,5.2047e-05,0.00278592
12000,15,624,6.8876e-05,0.00332457,0.00312976,0.00081915,0.000246972,0.00834537
12001,8,155,1.5478e-05,0.00235158,0.000407809,0.000161079,5.5287e-05,0.00309595
12003,9,157,1.6188e-05,0.00229139,0.000264341,0.000249381,5.544e-05,0.00298911
12004,4,63,6.981e-06,0.00209713,8.082e-06,5.0825e-05,2.1085e-05,0.00221085
12005,8,194,2.0162e-05,0.00233847,0.000394481,0.000220811,5.6079e-05,0.00314739
12006,4,99,9.02e-06,0.00218745,1.0864e-05,8.4872e-05,3.6842e-05,0.00237484
12007,4,51,5.78e-06,0.00257777,9.619e-06,8.0262e-05,1.9172e-05,0.00271792
