evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
14401,1,25,3.628e-06,0.00190449,3.68e-06,2.3825e-05,1.3546e-05,0.00196328
14403,2,50,5.193e-06,0.00242921,5.113e-06,4.4086e-05,2.1339e-05,0.00252713
14404,1,25,3.75e-06,0.00189436,5.773e-06,2.4045e-05,1.3202e-05,0.00195298
14409,2,28,4.196e-06,0.00188921,5.833e-06,2.7366e-05,1.3402e-05,0.00195192
14410,3,53,5.771e-06,0.00192561,6.285e-06,4.2162e-05,1.9205e-05,0.00201951
14411,2,90,9.337e-06,0.0019775,0.00020864,8.9433e-05,2.4366e-05,0.00234627
14412,5,205,2.5187e-05,0.00215544,0.000763378,0.00027337,6.8051e-05,0.00339618
14413,1,27,4.537e-06,0.00195345,4.109e-06,2.3387e-05,1.3947e-05,0.00201125
14414,2,49,5.984e-06,0.0019034,6.636e-06,4.1325e-05,1.9537e-05,0.00199616
14417,2,44,5.782e-06,0.00188867,4.93e-06,3.3062e-05,1.5377e-05,0.00196709
14418,4,101,1.0352e-05,0.00196075,0.00038458,0.000128132,3.2029e-05,0.00256428
14419,6,230,3.1799e-05,0.0020765,0.00034484,0.000394611,6.1824e-05,0.00301783
14423,2,52,5.331e-06,0.00195282,5.1e-06,4.3118e-05,2.075e-05,0.00204797
14424,1,28,3.812e-06,0.00227173,4.276e-06,2.5024e-05,1.4217e-05,0.00232995
14425,10,417,4.6224e-05,0.00284804,0.00145392,0.000557126,0.00013025,0.00537558
14426,8,475,4.8805e-05,0.00287448,0.00301419,0.000720623,0.000196252,0.00723135
14427,5,92,9.044e-06,0.00204375,4.2477e-05,8.0448e-05,3.141e-05,0.00224934
14429,6,125,1.365e-05,0.00208942,0.000281091,0.000137939,3.5865e-05,0.00262746
14430,3,70,6.871e-06,0.00197111,7.208e-06,6.0482e-05,2.6891e-05,0.00210139
14431,1,25,3.837e-06,0.00199804,4.082e-06,2.21e-05,1.3041e-05,0.00205184
14433,2,35,4.469e-06,0.00189676,5.663e-06,2.9563e-05,1.4334e-05,0.00196478
14434,4,94,9.599e-06,0.00194759,4.9028e-05,7.2585e-05,2.9509e-05,0.00215005
14435,2,75,8.46e-06,0.00195162,6.005e-06,5.67e-05,2.5537e-05,0.00207686
14436,2,24,4.34e-06,0.00185567,6.657e-06,2.788e-05,1.7457e-05,0.00192497
14437,7,190,1.7818e-05,0.00223663,0.00057579,0.000211279,5.6983e-05,0.00320156
14438,2,58,5.51e-06,0.00194681,6.441e-06,4.3555e-05,2.0716e-05,0.00204541
14439,6,441,5.8583e-05,0.00245204,0.00120075,0.00144976,0.000175401,0.00562806
14440,3,52,5.589e-06,0.00197342,4.653e-06,4.8041e-05,2.165e-05,0.00207557
14441,3,85,9.813e-06,0.00201096,6.036e-06,5.679e-05,1.7719e-05,0.00213803
14442,5,115,1.0607e-05,0.00199795,0.000503459,0.000122411,3.9828e-05,0.00273633
14444,4,89,9.007e-06,0.0020647,8.442e-06,6.6314e-05,2.7889e-05,0.00221598
14445,1,24,3.585e-06,0.00230095,4.592e-06,2.6549e-05,1.3813e-05,0.00236118
