evt,trks,hits,filltime,contime, fittime, mergtime, ztime,tottime
97,2,51,0.000205872,0.0104747,2.5177e-05,0.0017094,3.2055e-05,0.0131984
98,1,26,0.00014246,0.00671013,4.56e-06,0.000813535,1.6755e-05,0.00791501
99,1,26,0.000123895,0.00617,3.583e-06,0.000541167,1.4041e-05,0.00709564
100,9,108,0.000273761,0.0157956,0.00449419,0.00281835,0.000129667,0.0242395
105,4,59,0.000224353,0.0113335,8.1245e-05,0.00575742,0.000183829,0.0183837
106,9,550,0.00124721,0.0790709,0.0920333,0.14935,0.000311314,0.350729
108,1,26,0.000111596,0.00576167,3.481e-06,0.000521341,1.4358e-05,0.00660424
109,6,169,0.000418044,0.0265443,0.000110338,0.00410403,6.6301e-05,0.0323838
111,7,273,0.000625489,0.0368374,0.017452,0.00725198,0.000215124,0.0643047
112,4,75,0.000234377,0.0108648,3.7024e-05,0.00182789,8.0215e-05,0.0135885
113,4,126,0.000209148,0.0177013,0.00894368,0.00289137,9.8801e-05,0.0304179
114,4,97,0.000334605,0.017705,0.00110531,0.00275201,2.9921e-05,0.0317798
116,1,11,9.6348e-05,0.00267909,3.225e-06,5.2717e-05,7.6463e-05,0.0029667
120,9,127,0.000395043,0.0294728,0.0109521,0.00598994,3.3145e-05,0.0479162
121,3,55,0.000247681,0.0106108,1.1737e-05,0.00138232,2.0982e-05,0.0127322
122,5,87,0.000273031,0.015016,3.2436e-05,0.0021333,0.000115151,0.0182252
123,5,168,0.000283388,0.0402886,0.00999654,0.0138918,7.0046e-05,0.0664485
124,4,70,0.000228099,0.0113482,1.3683e-05,0.00134957,4.8539e-05,0.0134351
125,1,25,0.000133385,0.00618299,3.058e-06,0.000635906,1.5285e-05,0.00717546
126,1,17,5.3338e-05,0.00639354,7.117e-06,0.000697222,1.2574e-05,0.00729725
127,1,53,0.000165987,0.0146809,0.000453749,0.0022628,1.4919e-05,0.0180439
128,4,104,0.000322806,0.0215858,4.4126e-05,0.00313543,3.2807e-05,0.0260603
129,8,450,0.000970405,0.0734316,0.0502285,0.191897,0.000225515,0.352097
130,3,109,0.000418851,0.017695,0.000431707,0.00235733,0.000219234,0.0220048
131,2,51,0.000201438,0.0113971,1.3711e-05,0.00122363,2.0227e-05,0.0133144
132,2,66,0.000156083,0.0240227,1.5195e-05,0.00328041,2.1563e-05,0.0282127
133,9,179,0.000468542,0.0294147,0.0077896,0.0111804,8.845e-05,0.0683709
134,4,152,0.000325982,0.0188993,0.00123241,0.00219013,0.000211842,0.0236982
136,4,73,0.000207278,0.0120015,2.1409e-05,0.00151779,5.7789e-05,0.0142702
138,2,43,0.000111337,0.0087312,2.8859e-05,0.00139125,2.5126e-05,0.0107816
139,2,30,7.7608e-05,0.00539775,2.1092e-05,0.000445652,9.5796e-05,0.00619887
140,4,143,0.000194514,0.0191979,0.00958156,0.00253883,6.3017e-05,0.0320797
141,2,22,7.3897e-05,0.00604686,1.0865e-05,0.000568914,1.2546e-05,0.00688163
142,3,59,0.000167044,0.0133429,2.166e-05,0.00227985,4.5407e-05,0.0164668
145,7,177,0.000621562,0.0277958,0.00248726,0.00500952,0.00014283,0.0372495
146,4,116,0.000212679,0.013701,0.00756561,0.00254007,6.0604e-05,0.024681
147,7,191,0.000302059,0.0204204,0.0112975,0.00554593,0.000591081,0.0391143
150,3,69,0.00020087,0.0138701,0.000794013,0.0024351,2.995e-05,0.0179241
151,7,135,0.000307985,0.0232952,0.00101003,0.00349618,8.1694e-05,0.0290915
152,1,25,7.6322e-05,0.00549503,1.198e-05,0.000586471,1.3256e-05,0.00636464
153,8,167,0.000726309,0.0328994,0.00144901,0.00569101,0.000397523,0.043486
154,1,26,8.0893e-05,0.00558904,1.6627e-05,0.000653957,1.2242e-05,0.00652261
155,1,76,0.0002115,0.0119722,0.000698864,0.0224141,6.5129e-05,0.0395827
156,6,136,0.000457132,0.0246609,0.00270091,0.00413372,5.1734e-05,0.0341097
157,1,22,9.9585e-05,0.00492997,1.7884e-05,0.000649918,5.7154e-05,0.00589935
158,3,150,0.000273152,0.0154149,0.00301452,0.00239141,9.5985e-05,0.0219195
160,2,37,0.000146866,0.00788904,7.688e-06,0.000875737,2.0379e-05,0.00920535
161,6,146,0.000482564,0.0273864,0.00307577,0.00497509,0.000195975,0.0372975
162,2,38,0.00010938,0.00991764,1.0027e-05,0.00220083,4.1275e-05,0.0125719
163,4,86,0.000264021,0.0163846,1.414e-05,0.00237225,3.0217e-05,0.0197215
164,7,286,0.000844625,0.0327792,0.031804,0.0184217,0.000433829,0.0874367
166,4,67,0.000826862,0.0112487,0.00231558,0.00235673,0.000427729,0.018046
167,5,49,0.000106673,0.00639344,1.8948e-05,0.000583245,0.000154772,0.00747471
168,4,119,0.000331144,0.0266566,0.00750966,0.00349918,2.6735e-05,0.0388728
169,3,77,0.000237917,0.0177129,0.00364714,0.00270621,2.6238e-05,0.0249815
170,3,39,0.000142991,0.00762976,1.2781e-05,0.000842568,3.9871e-05,0.00896784
171,3,84,0.000199344,0.0113054,3.086e-05,0.00130904,0.000124859,0.0133769
172,3,89,0.00036979,0.0160753,1.5344e-05,0.00207588,0.000331136,0.0194823
173,2,14,9.0362e-05,0.0070636,1.6641e-05,0.000685881,1.3945e-05,0.00802894
174,6,113,0.000328293,0.0212453,0.000106383,0.00423516,3.9826e-05,0.0268729
175,2,51,0.000199948,0.0104447,5.297e-06,0.00131441,2.1711e-05,0.0123818
