cm,x,y,z,mx,my,mz
2,24.6265,-7.70036,35,24.6265,-6.05411,3.58785
2,24.6265,-6.68897,35,24.6265,-4.70401,-2.87519
2,24.6265,-5.67758,35,24.6265,-3.28161,-10.7179
2,24.6265,-4.6662,35,24.6265,-1.78093,-20.0541
2,24.6265,-3.65481,35,24.6265,-3.65481,35
2,24.6265,-2.64343,35,24.6265,-2.64343,35
2,23.7518,-2.13773,35,23.7518,-2.13773,35
2,23.7518,-1.12635,35,23.7518,-1.12635,35
2,23.1469,2.8145,-39.8967,23.1469,2.8145,-39.8967
2,22.7418,3.03,35,22.7418,3.03,0
2,21.8671,3.535,35,21.8671,3.535,0
2,20.9925,4.04,35,20.9925,4.04,0
2,20.1178,4.545,35,20.1178,4.545,0
2,19.2431,5.05,35,19.2431,5.05,0
2,18.3684,5.555,35,18.3684,5.555,0
3,-11.3709,-37.875,35,-11.3709,-37.875,0
3,-10.4962,-37.37,35,-10.4962,-37.37,0
3,-10.4962,-36.36,35,-10.4962,-36.36,0
3,-9.62154,-35.855,35,-9.62154,-35.855,0
3,-9.62154,-34.845,35,-9.62154,-34.845,0
3,-8.74686,-34.34,35,-8.74686,-34.34,0
3,-8.74686,-33.33,35,-8.74686,-33.33,0
3,-7.87217,-32.825,35,-7.87217,-32.825,0
3,-7.51367,-32.2192,50.6323,-7.51367,-32.2192,50.6323
3,-7.90631,-31.2455,35,-7.53452,-31.4602,43.1918
3,-7.03103,-30.7409,35,-7.31588,-30.5764,28.7239
3,-7.1635,-29.9605,25.4535,-7.1635,-29.9605,25.4535
3,-7.27058,-29.1546,35,-6.85931,-29.392,25.9385
3,-7.27118,-28.1442,35,-6.54085,-28.5659,18.9085
3,-6.31957,-27.9918,20.5653,-6.31957,-27.9918,20.5653
3,-5.72741,-27.5875,26.4573,-6.05154,-27.4004,19.3154
3,-5.72771,-26.5773,26.4639,-5.71025,-26.5874,26.8486
3,-5.47196,-26.0199,25.3906,-5.47196,-26.0199,25.3906
3,-5.84282,-25.0629,40.7943,-5.19925,-25.4345,26.6144
3,-5.84312,-24.0527,40.7876,-4.84283,-24.6302,18.748
3,-4.65136,-24.1982,19.5191,-4.65136,-24.1982,19.5191
3,-4.37343,-23.735,35,-4.37343,-23.735,0
3,-4.37343,-22.725,35,-4.37343,-22.725,0
3,-4.37343,-21.715,35,-4.37343,-21.715,0
3,-4.37343,-20.705,35,-4.37343,-20.705,0
3,-3.49874,-20.2,35,-3.49874,-20.2,0
3,-3.49874,-19.19,35,-3.49874,-19.19,0
3,-3.49874,-18.18,35,-3.49874,-18.18,0
3,-2.62406,-17.675,35,-2.62406,-17.675,0
4,35.8621,-18.685,35,35.8621,-18.685,0
4,34.9874,-19.19,35,34.9874,-19.19,0
4,34.1127,-19.695,35,34.1127,-19.695,0
4,33.2381,-20.2,35,33.2381,-20.2,0
4,32.3634,-20.705,35,32.3634,-20.705,0
4,31.4887,-21.21,35,31.4887,-21.21,0
4,30.614,-20.705,35,30.614,-20.705,0
4,29.7393,-21.21,35,29.7393,-21.21,0
4,28.8646,-21.715,35,28.8646,-21.715,0
4,27.9899,-21.21,35,27.9899,-21.21,0
4,27.7141,-20.5632,81.4484,27.7141,-20.5632,81.4484
4,27.6884,-20.5889,62.151,27.6884,-20.5889,62.151
4,25.2063,-21.2574,35,26.4265,-20.5529,61.8859
4,26.0821,-20.7517,35,26.4265,-20.5529,42.5873
4,24.331,-20.7527,35,25.4141,-20.1274,58.8653
4,25.2069,-20.247,35,25.4141,-20.1274,39.5669
4,24.4731,-19.9412,44.752,24.4731,-19.9412,44.752
4,24.8982,-19.7012,35.1028,24.8982,-19.7012,35.1028
4,24.5892,-19.1557,35,24.3999,-19.265,39.171
4,23.7139,-18.651,35,23.6924,-18.6634,35.4734
4,23.1833,-18.2306,39.9274,23.1833,-18.2306,39.9274
4,22.6396,-17.8232,35,23.4715,-17.3429,53.3295
4,22.2528,-17.0366,26.4639,21.9937,-17.1862,20.7553
4,23.207,-15.7618,53.2998,23.207,-15.7618,53.2998
4,22.1975,-15.6205,69.7419,23.214,-15.0336,47.345
4,24.6265,-10.7523,16.6501,24.6265,-13.7159,73.1974
4,24.6265,-11.2553,7.00087,24.6265,-13.7131,53.899
4,25.2752,-13.4628,50.8661,25.2752,-13.4628,50.8661
4,25.8805,-12.3824,70.5656,25.8805,-13.943,40.7883
4,26.7552,-12.3835,60.923,26.7552,-12.382,60.9499
4,27.3968,-12.4765,59.2927,27.3968,-12.4765,59.2927
4,28.0092,-11.2402,35,28.0092,-10.5328,21.5013
4,28.0092,-10.2288,35,28.0092,-10.5536,41.198
4,27.405,-11.4583,59.1166,27.405,-11.4583,59.1166
4,26.7552,-11.8805,51.2738,26.7552,-12.382,41.7044
4,25.8805,-11.3766,51.2672,25.8805,-13.1814,16.8296
5,16.619,-6.565,35,16.619,-6.565,0
5,17.4937,-6.06,35,17.4937,-6.06,0
5,18.3684,-5.555,35,18.3684,-5.555,0
5,19.2431,-5.05,35,19.2431,-5.05,0
5,20.1178,-4.545,35,20.1178,-4.545,0
5,20.9925,-4.04,35,20.9925,-4.04,0
5,20.9925,-3.03,35,20.9925,-3.03,0
5,20.9925,-2.02,35,20.9925,-2.02,0
5,21.8671,-1.515,35,21.8671,-1.515,0
5,21.8671,-0.505,35,21.8671,-0.505,0
5,21.8671,0.505,35,21.8671,0.505,0
5,20.9925,1.01,35,20.9925,1.01,0
5,20.9925,2.02,35,20.9925,2.02,0
5,20.1178,2.525,35,20.1178,2.525,0
5,20.1178,3.535,35,20.1178,3.535,0
5,19.2431,4.04,35,19.2431,4.04,0
5,18.3684,4.545,35,18.3684,4.545,0
6,6.1228,-15.655,35,6.1228,-15.655,0
6,5.24811,-16.16,35,5.24811,-16.16,0
6,6.1228,-16.665,35,6.1228,-16.665,0
6,6.99749,-17.17,35,6.99749,-17.17,0
6,7.87217,-17.675,35,7.87217,-17.675,0
6,8.74686,-18.18,35,8.74686,-18.18,0
6,9.62154,-18.685,35,9.62154,-18.685,0
6,10.4962,-18.18,35,10.4962,-18.18,0
6,11.3709,-18.685,35,11.3709,-18.685,0
6,12.2456,-19.19,35,12.2456,-19.19,0
6,13.1203,-18.685,35,13.1203,-18.685,0
6,12.5389,-19.5865,65.617,12.5389,-19.5865,65.617
6,12.5647,-19.5608,84.9162,12.5647,-19.5608,84.9162
6,13.3879,-19.1072,46.3443,13.3879,-19.1072,46.3443
6,13.4137,-19.0815,65.6434,13.4137,-19.0815,65.6434
6,14.1402,-19.2624,35,14.5994,-18.9973,24.8827
6,15.0161,-18.7567,35,14.5994,-18.9973,44.1811
6,15.8914,-19.2614,35,16.2591,-19.0491,26.8983
6,17.4755,-19.087,6.15506,17.4755,-19.087,6.15506
6,19.1367,-18.8357,35,15.7374,-20.7983,-39.8973
6,20.0126,-18.33,35,16.6133,-20.2926,-39.8973
6,20.8885,-17.8243,35,17.4892,-19.7869,-39.8973
6,21.7643,-17.3186,35,21.2198,-17.633,23.0013
6,22.2528,-17.0366,26.4639,21.9937,-17.1862,20.7553
6,22.6907,-16.7837,16.8147,22.7666,-16.7399,18.4864
6,23.1287,-16.5309,7.16549,24.899,-15.5088,46.1704
6,25.8805,-12.3824,70.5656,25.8805,-13.943,40.7883
6,26.7552,-12.3835,60.923,26.7552,-12.382,60.9499
6,26.7552,-11.8805,51.2738,26.7552,-12.382,41.7044
6,27.3904,-11.9786,49.5016,27.3904,-11.9786,49.5016
6,28.0092,-11.2402,35,28.0092,-10.5328,21.5013
6,28.0092,-10.2288,35,28.0092,-10.5536,41.198
6,27.3975,-10.9615,49.3622,27.3975,-10.9615,49.3622
6,26.7552,-11.3776,41.6246,26.7552,-12.434,21.4681
7,16.619,6.565,35,16.619,6.565,0
7,17.4937,6.06,35,17.4937,6.06,0
8,16.619,4.545,35,16.619,4.545,0
8,17.4937,5.05,35,17.4937,5.05,0
