EvtNum,x,y,z,mx,my,mz,r,theta,thetaDeg,mr,mtheta,mthetaDeg,isochrone,type,trackID,timeStamp,detID
0,20.9925,28.28,35,20.9025,28.307,-0.681303,35.2199,0.932237,53.4132,35.1881,0.934746,53.557,0.100218,1,6,0,3607
0,20.9925,29.29,35,21.1691,29.2421,-0.698291,36.0359,0.948943,54.3704,36.1003,0.944194,54.0983,0.207839,1,6,0,3831
0,20.9925,30.3,35,21.4183,30.1946,-0.715315,36.8615,0.964905,55.285,37.0197,0.953828,54.6503,0.436961,1,6,0,4031
0,21.8671,30.805,35,21.5787,30.8716,-0.727463,37.7772,0.953486,54.6307,37.6656,0.960754,55.0472,0.308266,1,6,0,4212
0,21.8671,31.815,35,21.7868,31.8317,-0.744022,38.6053,0.96863,55.4984,38.5736,0.970591,55.6108,0.100613,1,6,0,4365
0,21.8671,32.825,35,21.9751,32.8056,-0.759786,39.4418,0.983135,56.3295,39.4856,0.980587,56.1835,0.129132,1,6,0,4477
0,21.8671,33.835,35,22.1418,33.7924,-0.774813,40.2862,0.997035,57.1259,40.4003,0.990753,56.766,0.259665,1,6,0,4536
0,-16.619,0.505,35,-16.2216,0.707288,27.2033,16.6267,3.11122,178.26,16.2371,3.09802,177.503,0.424728,1,342,0,26
0,-16.619,1.515,35,-16.6225,1.5134,27.6821,16.6879,3.05068,174.791,16.6912,3.0508,174.798,0.000697455,1,342,0,25
0,-16.619,2.525,35,-17.0199,2.33595,28.1676,16.8098,2.99081,171.361,17.1795,3.0052,172.185,0.456204,1,342,0,24
0,-17.4937,3.03,35,-17.3668,3.08796,28.6073,17.7542,2.97009,170.174,17.6392,2.96562,169.918,0.111094,1,342,0,129
0,-17.4937,4.04,35,-17.7438,3.93043,29.0971,17.9542,2.91463,166.996,18.1739,2.9236,167.51,0.277981,1,342,0,128
0,-18.3684,4.545,35,-18.0648,4.674,29.5261,18.9223,2.89903,166.102,18.6596,2.88841,165.494,0.328068,1,342,0,239
0,-18.3684,5.555,35,-18.4209,5.53378,30.0183,19.19,2.84792,163.174,19.2341,2.84976,163.279,0.0366055,1,342,0,238
