#######
#
# prefix ,m, means Monte Carlo, theta is in rad, thetaDeg is theta converted to deg
# Values equal to -10000.0 correspond to hits with a bad MC MVD value (noise)
# those values have to be excluded (not real hits, ghosts or compute errors).
#
# EvtNum x y z mx  my mz r theta thetaDeg mr mtheta mthetaDeg isochrone type trackID timeStamp detID 
#
#######
EvtNum,x,y,z,mx,my,mz,r,theta,thetaDeg,mr,mtheta,mthetaDeg,isochrone,type,trackID,timeStamp,detID
0,-18.07,18.1161,39.3,19.2396,23.7046,-0.595039,25.5874,2.35492,134.927,30.5298,0.888999,50.9359,0.100269,1,6,0,2475
0,-9.65995,30.9275,39.3,19.6028,24.5702,-0.612572,32.401,1.87354,107.346,31.4319,0.897381,51.4161,0.474628,1,6,0,2717
0,-23.7098,29.9126,39.3,20.0633,25.7751,-0.63638,38.1696,2.24103,128.402,32.6633,0.909367,52.1029,0.0318477,1,6,0,2936
0,-21.076,7.098,39.3,20.3824,26.6748,-0.652794,22.2391,2.81674,161.387,33.5706,0.918329,52.6164,0.305009,1,6,0,3154
0,-29.522,13.182,39.3,20.6203,27.39,-0.665058,32.3313,2.72164,155.939,34.2842,0.925479,53.026,0.389986,1,6,0,3377
0,-33.37,8.112,39.3,20.9025,28.307,-0.681303,34.3418,2.90313,166.337,35.1881,0.934746,53.557,0.100218,1,6,0,3607
0,-39.516,-5.577,39.3,21.1691,29.2421,-0.698291,39.9076,-3.00139,-171.967,36.1003,0.944194,54.0983,0.207839,1,6,0,3831
0,-4.49089,-24.9422,90.0747,21.4183,30.1946,-0.715315,25.3432,-1.74894,-100.207,37.0197,0.953828,54.6503,0.436961,1,6,0,4031
0,-23.4746,-18.3513,39.3,21.5787,30.8716,-0.727463,29.7965,-2.47808,-141.984,37.6656,0.960754,55.0472,0.308266,1,6,0,4212
0,-9.65973,-33.9691,39.3,21.7868,31.8317,-0.744022,35.3159,-1.84785,-105.874,38.5736,0.970591,55.6108,0.100613,1,6,0,4365
0,-6.1469,-39.0387,39.3,21.9751,32.8056,-0.759786,39.5197,-1.72697,-98.9481,39.4856,0.980587,56.1835,0.129132,1,6,0,4477
0,-10.5375,-38.5315,39.3,22.1418,33.7924,-0.774813,39.9464,-1.83775,-105.295,40.4003,0.990753,56.766,0.259665,1,6,0,4536
0,14.0504,-12.168,39.3,-16.2216,0.707288,27.2033,18.5869,-0.713724,-40.8934,16.2371,3.09802,177.503,0.424728,1,342,0,26
